Priority,Research area,Project,Sector,Region,Owner / Client,Owner role,Estimated value,Stage as of Jul 2026,Delivery window,Tier 1 contractor / JV / consortium,JV / partners aligned,Known owners / delivery leads,LinkedIn / public profile if available,Sources
1,"Buildings, Social Infrastructure and Regeneration",Hinkley Point C Nuclear Power Station,Energy / Nuclear,South West England â€” Somerset,EDF / HPC Ltd,EDF as developer; UK Govt as partner,~Â£48bn (up from Â£46.6bn; latest uplift Feb 2026),Under construction (well advanced); first reactor start-up delayed to ~2030 after M&E programme issues (Feb 2026 announcement),Reactor 1: ~2030; Reactor 2: ~2031,Bylor JV (Bouygues + Laing O'Rourke) â€” main civils; others for MEP,,"Mark Hartley (returned as HPC lead, replacing Stuart Crooks, March 2026)",,constructionenquirer.com/2026/02/22/me-delay-pushes-hinkley-c-first-reactor-start-up-back-a-year/ (https://www.constructionenquirer.com/2026/02/22/me-delay-pushes-hinkley-c-first-reactor-start-up-back-a-year/) Â· constructionenquirer.com/2026/03/25/me-expert-returns-to-run-hinkley-point-c/ (https://www.constructionenquirer.com/2026/03/25/me-expert-returns-to-run-hinkley-point-c/)
1,"Buildings, Social Infrastructure and Regeneration",HS2 Phase 1 (London Eustonâ€“Old Oak Commonâ€“Birmingham Curzon Street),Transport / Rail Infrastructure,"London, Buckinghamshire, Northamptonshire, Warwickshire, West Midlands",HS2 Ltd (DfT arm's-length body),DfT as sponsoring department; HS2 Ltd as delivery authority,"Â£88â€“103bn (as of June 2026 NAO estimate, up from 2020 estimate of ~Â£45bn)","Active construction peak â€” 350+ active sites; 30,000 workers. Copthall green tunnel (West Ruislip) completed July 2026. Chipping Warden tunnel final segments installed July 2026. Curzon Street station foundations (2,011 piles) complete. Commercial reset underway. Â£8bn Euston plan being separately managed via new Euston Delivery Company Ltd (CEO vacancy).",Trains operational: ~2033 (reset target post-2026 review),,,"James Leeming, Head of Delivery, HS2 Ltd; Jonathan Morris, MD, SCS JV; Chris Barrett, Senior Project Manager, EKFB",hs2.org.uk/building-hs2/ (https://www.hs2.org.uk/building-hs2/),hs2.org.uk/building-hs2/ (https://www.hs2.org.uk/building-hs2/) Â· newcivilengineer.com/latest/hs2-reveals-first-completed-cut-and-cover-green-tunnel-in-west-ruislip-07-07-2026/ (https://www.newcivilengineer.com/latest/hs2-reveals-first-completed-cut-and-cover-green-tunnel-in-west-ruislip-07-07-2026/) Â· constructionenquirer.com/2026/06/29/hs2-reset-hinges-on-contractor-deals-and-8bn-euston-plan/ (https://www.constructionenquirer.com/2026/06/29/hs2-reset-hinges-on-contractor-deals-and-8bn-euston-plan/) Â· constructionenquirer.com/2026/07/06/final-segment-installed-at-problem-hs2-green-tunnel/ (https://www.constructionenquirer.com/2026/07/06/final-segment-installed-at-problem-hs2-green-tunnel/)
1,"Buildings, Social Infrastructure and Regeneration",MoD Single Living Accommodation (SLA) Programmatic Approach,Defence,UK-wide (military bases),Ministry of Defence / DIO,DIO as programme owner; individual base commands,"~Â£9bn total ambition (16,000 new bedspaces by 2034; 40,000 over 10 yrs). Part of wider Â£9bn Forces Housing Plan (MoD, Nov 2025).","Phase 1 under active delivery â€” ~1,800 bedspaces allocated. Alliance formed and operational. Multiple site starts underway.",Phase 1 now (2025â€“2028); full programme to 2034,"Bowmer & Kirkland (Catterick, Combermere, RM Condor, Yeovilton); Reds10 (Baker Barracks, RAF Cosford); Kier Metek (RM Bickleigh); Laing O'Rourke (RAF Waddington, Albermarle, RAF Honington); Kier McAvoy",,"Warren Webster, Programme Director â€“ SLA Programmatic Approach, DIO",,constructionenquirer.com/2025/08/22/latest-contract-winners-in-military-living-revamp/ (https://www.constructionenquirer.com/2025/08/22/latest-contract-winners-in-military-living-revamp/) Â· constructionenquirer.com/2025/11/03/mod-rolls-out-9bn-plan-to-fix-forces-housing/ (https://www.constructionenquirer.com/2025/11/03/mod-rolls-out-9bn-plan-to-fix-forces-housing/)
1,"Buildings, Social Infrastructure and Regeneration",New Hospital Programme (NHP) â€” Wave 1,Healthcare,England-wide (11 hospitals),Department of Health and Social Care (DHSC) / NHS England,Central Government programme owner; individual NHS Trusts as local clients,Â£8.9bn (Wave 1); Â£60bn total programme,Contractor pairings confirmed May 2026; contracts to be signed summer 2026; programme under scrutiny re: 3% contingency shortfall (Public Accounts Committee April 2026),Construction starts 2027â€“28; completions targeted by ~2030â€“2033 per individual scheme,,IHP = Sir Robert McAlpine + Vinci Building,"Sir Geoffrey Clifton-Brown (Chair, Public Accounts Committee, scrutiny role); NHP Programme Director â€” not confirmed public name in sources checked",â€“,constructionenquirer.com/2026/05/20/10-contractors-paired-with-new-hospital-jobs-worth-14bn/ (https://www.constructionenquirer.com/2026/05/20/10-contractors-paired-with-new-hospital-jobs-worth-14bn/) Â· constructionenquirer.com/2026/04/22/60bn-hospital-rebuild-faces-fresh-delay-danger/ (https://www.constructionenquirer.com/2026/04/22/60bn-hospital-rebuild-faces-fresh-delay-danger/)
1,"Buildings, Social Infrastructure and Regeneration",Sizewell C Nuclear Power Station,Energy / Nuclear / Major Infrastructure,East of England â€” Suffolk,"SZC Co Ltd (EDF 12.5%, UK Govt 44.9%, Centrica 15%, La Caisse 20%, Amber Infrastructure 7.6%)","SZC Co as developer/client; DHSC GMPP listed as ""UK Health Security Campus"" (Weybridge) separately; Sizewell C in DESNZ GMPP",~Â£20bn+ (target ~20% cheaper than Hinkley C),"Full construction commenced â€” financial close Nov 2025. 2,000+ people on site daily. Early packages awarded: worker campus & college to McLaren; gateway civils (Â£70m) to Kier; bulk earthworks (Â£250m) tendering","Operational ~2035+ (2 reactors, 3.2GW)","McLaren (worker campus & college, CM framework); Kier (gateway civils); bulk earthworks TBC",,"Damian Leydon, Site Delivery Director, Sizewell C; Vince Lydon, MD Construction Management, McLaren",sizewellc.co.uk (https://www.sizewellc.co.uk),constructionenquirer.com/2025/11/04/sizewell-c-financial-close-unlocks-full-scale-construction/ (https://www.constructionenquirer.com/2025/11/04/sizewell-c-financial-close-unlocks-full-scale-construction/) Â· constructionenquirer.com/2026/04/27/mclaren-confirmed-for-sizewell-c-worker-campus-and-college/ (https://www.constructionenquirer.com/2026/04/27/mclaren-confirmed-for-sizewell-c-worker-campus-and-college/) Â· constructionenquirer.com/2026/04/16/kier-lands-70m-sizewell-c-gateway-civils-job/ (https://www.constructionenquirer.com/2026/04/16/kier-lands-70m-sizewell-c-gateway-civils-job/)
1,"Energy, Water and Utilities",AMP8 (Asset Management Period 8) Water & Wastewater Capital Investment Programme,Water / Wastewater Infrastructure,All England & Wales,Thames Water (South/East England); Severn Trent (Midlands/South West/Wales); United Utilities (NW England); Yorkshire Water (Yorkshire); Anglian Water (East Anglia); Southern Water (SE England); Wessex Water (SW England); South West Water; Northumbrian Water,Each water company is the regulated asset owner and client under Ofwat PR24 (Price Review 2024) â€” five-year regulatory period 2025â€“2030. Ofwat sets allowed capital investment levels and price limits. Government recently announced Ofwat to be abolished and replaced with new England and Wales regulators (July 2025).,"~Â£96bn total industry capex 2025â€“2030 (Water UK / Ofwat PR24). Key company allocations (Ofwat PR24 Final Determinations, Dec 2024): Thames Water ~Â£19.8bn; United Utilities ~Â£12.9bn; Severn Trent ~Â£8.5bn; Anglian Water ~Â£9.3bn; Southern Water ~Â£7.1bn; Yorkshire Water ~Â£5.5bn.",Underway from April 2025 â€” all water companies have mobilised AMP8 delivery programmes. Thames Water subject to financial restructuring (Â£3bn emergency bailout March 2025; potential special administration as of June 2026); this adds uncertainty to delivery but capital programmes continuing under oversight.,2025â€“2030 (AMP8); next AMP9 begins April 2030,,,"Chris Weston â€” CEO, Thames Water (publicly named, multiple press releases, Wikipedia). Adrian Montague â€” Chair, Thames Water (Wikipedia). James Jesic â€” CEO, Severn Trent (replaced Liv Garfield, confirmed Wikipedia). Louise Beardmore â€” CEO, United Utilities (publicly named).",Chris Weston: searchable on LinkedIn (verify independently). Louise Beardmore: UU corporate bio at unitedutilities.com.,Ofwat PR24 Final Determinations Dec 2024: ofwat.gov.uk/regulated-companies/price-review/2024-price-review/ (https://www.ofwat.gov.uk/regulated-companies/price-review/2024-price-review/) Â· Wikipedia: en.wikipedia.org/wiki/Thames_Water (https://en.wikipedia.org/wiki/Thames_Water) Â· en.wikipedia.org/wiki/Severn_Trent (https://en.wikipedia.org/wiki/Severn_Trent_Water)
1,"Energy, Water and Utilities",Dogger Bank South Wind Farm (SW + SE),Offshore Wind,"North Sea â€” Dogger Bank South zones, off East Yorkshire",JV: RWE + Masdar (Abu Dhabi Future Energy Company),RWE as lead developer and technical partner; Masdar as co-developer and equity partner. CfD in AR7 (Jan 2026). Crown Estate leasehold from Round 4.,~Â£11bn combined (announced at COP28 Dec 2023 for the Â£11bn RWE/Masdar investment commitment),CfD secured January 2026 (AR7). Pre-construction / development stage. Ofgem Round 4 lease secured 2022.,2030s,Not yet appointed,,,,Wikipedia: en.wikipedia.org/wiki/Dogger_Bank_Wind_Farm (https://en.wikipedia.org/wiki/Dogger_Bank_Wind_Farm) Â· COP28 announcement Dec 2023 Â· Offshorewind.biz Jan 2026
1,"Energy, Water and Utilities","Dogger Bank Wind Farm A, B & C",Offshore Wind,"North Sea, 130â€“200 km off East Yorkshire",Dogger Bank Wind Farm Ltd (joint venture entity),SSE Renewables as lead developer and asset manager; Equinor as technical sponsor (offshore expertise); Eni as financial co-investor (acquired Dec 2020). All share development decisions.,~Â£9bn total (A+B+C). Individual phases c. Â£3bn each. 15-year PPAs agreed Nov 2020 (A&B) and Nov 2021 (C). CfD strike price for C: not via CfD (pre-dated AR mechanism).,"Dogger Bank A: All 95 turbines installed (confirmed Feb 2026 SSE weekly notice); commissioning/energisation phase. Dogger Bank B: Under construction; 17/95 turbines installed as of April 2026. Dogger Bank C: Under construction; turbine installation from 2025, completion targeted 2026. Sofia (RWE, same zone, separate entity): Completion targeted 2026.",A: 2026 (operational); B: 2027; C: 2026,Saipem (monopile foundation installation); Jan De Nul (HVAC cable installation); Heerema Marine (heavy lift); Sif Group (monopile fabrication); Seco Tools and others for onshore converter stations,"GE Vernova (Haliade-X 13 MW turbines, A&B; 14.7 MW, C); Hitachi Energy (HVDC converter stations â€” world's first unmanned HVDC offshore substation at A); ABB (HVDC cable); Prysmian/NKT (cables); Able Seaton Port Hartlepool (turbine pre-assembly)","John Cosgrove â€” Managing Director, SSE Renewables (publicly named in SSE reports). Per-project directors not publicly named in verifiable sources at time of research.",SSE Renewables corporate site: sse.com/what-we-do/sse-renewables (https://www.sse.com/what-we-do/sse-renewables) Â· doggerbank.com,Wikipedia: en.wikipedia.org/wiki/Dogger_Bank_Wind_Farm (https://en.wikipedia.org/wiki/Dogger_Bank_Wind_Farm) Â· SSE Weekly Operations Notice Rev 206 (Feb 2026) Â· Rev 163 (Apr 2026)
1,"Energy, Water and Utilities",East Coast Cluster â€” Zero Carbon Humber + Net Zero Teesside (Track 1 CCUS),CCUS / Power Generation with CCS / Hydrogen,Humber (East Yorkshire/Lincolnshire) and Teesside (NE England),"Multi-party. Key: BP (Net Zero Teesside â€” CCGT with post-combustion CCS); National Grid Ventures (Northern Endurance Partnership â€” offshore T&S infrastructure); Equinor, Shell, Total (industrial emitters); Eni (equity in Northern Endurance). Zero Carbon Humber covers additional emitters (Drax Power, CF Fertilisers, Phillips 66).",BP as developer of Net Zero Teesside (NZT) power project. National Grid Ventures / Northern Endurance Partnership as offshore T&S developer. DESNZ as government track-setter and revenue support provider via CCUS programme.,"~Â£10bn+ total cluster (T&S infrastructure, NZT power station, industrial CCS units combined). NZT CCGT alone c. Â£3â€“4bn.",Advanced Development / Track 1 contract negotiations. BP NZT: FEED complete; awaiting final government revenue contract (DPA). Northern Endurance Partnership: detailed design. Target: first COâ‚‚ capture ~2028â€“2030. Some reports indicate delays to Track 1 target of 2030.,2028â€“2030,Not all publicly confirmed. Likely major EPCs: Tecnicas Reunidas or KBR for NZT power/CCS; Subsea 7 / ALLSEAS for offshore pipelines.,,"Andy Calitz â€” CEO, bp NZT (Net Zero Teesside project). Northern Endurance Partnership â€” National Grid Ventures, CEO Alistair Phillips-Davies (SSE Group). Specific project directors not publicly confirmed in research.",,bp.com/en_gb/united-kingdom/home/who-we-are/net-zero-teesside.html Â· gov.uk CCUS Track 1 (https://www.gov.uk/guidance/carbon-capture-usage-and-storage-ccus-programme) Â· Northern Endurance Partnership: northernendurance.com
1,"Energy, Water and Utilities",Hinkley Point C Nuclear Power Station,Nuclear â€” New Build,"Somerset, South West England",NNB Generation Company (HPC) Ltd â€” subsidiary of EDF Energy,"Developer, owner and future operator. EDF as majority owner and construction manager. CGN as minority financial investor.","Â£35bn (2015 prices) / ~Â£48bn in 2026 prices â€” nearly double original estimate. CfD strike price: Â£92.50/MWh (2012 prices), ~Â£133/MWh in 2025 prices.","Under Construction â€” Main civils and nuclear island construction underway. Unit 1 first power projected 2030; Unit 2 c.2030â€“31. 6,300+ workers on site.",Unit 1: 2030 | Unit 2: 2031 | Operational life: 60 years,BYLOR JV (Bouygues Construction + Laing O'Rourke) â€” Nuclear island civil works (main contractor).,"Balfour Beatty (power & infrastructure packages); Kier Group (buildings/civils); Altrad Services (scaffolding & maintenance); Costain/Skanska JV (groundwork); Cavendish Nuclear (fuel handling systems); Framatome (reactor supplier, pressure vessels); GE Vernova (turbine islands)","Stuart Crooks â€” CEO, NNB Generation Company (HPC) â€” EDF Energy [Public: multiple press releases, edfenergy.com]. LinkedIn not reliably verified.",Stuart Crooks corporate bio: edfenergy.com/about/news (https://www.edfenergy.com/about) â€” LinkedIn not confirmed,Wikipedia: en.wikipedia.org/wiki/Hinkley_Point_C_nuclear_power_station (https://en.wikipedia.org/wiki/Hinkley_Point_C_nuclear_power_station) Â· EDF: edfenergy.com/energy/nuclear-new-build-projects/hinkley-point-c (https://www.edfenergy.com/energy/nuclear-new-build-projects/hinkley-point-c)
1,"Energy, Water and Utilities",HyNet North West â€” Industrial Decarbonisation Cluster (Track 1 CCUS),Carbon Capture Utilisation & Storage (CCUS) / Hydrogen / Industrial Decarbonisation,"North West England (Merseyside, Cheshire, Greater Manchester) and North Wales","Multi-party cluster. Key project leads by workstream: Eni UK (offshore COâ‚‚ transport & storage in Hamilton depleted gas fields, Liverpool Bay); Cadent Gas (onshore COâ‚‚ pipeline + hydrogen pipeline network); INEOS Inovyn (hydrogen storage via repurposed Northwich salt caverns); CF Industries / Tata Chemicals / Viridor / Essar (industrial emitters, CCS hosts)",DESNZ as Track 1 CCUS cluster selector (announced Oct 2021). Each workstream has its own developer/owner. HM Treasury capital support provided via Track 1 negotiations (ongoing). Government providing revenue support via Dispatchable Power Agreements (DPA) and carbon capture contracts.,~Â£2bn+ for initial phase infrastructure. Full cluster development ~Â£10bn over lifetime. Government committed track 1 support in Autumn Statement 2023 and 2024 budget.,Track 1 â€” contracts/FEED to construction transition. Track 1 sequencing: HyNet selected Oct 2021. Revenue model and contracts under negotiation through 2023â€“2025. COâ‚‚ pipeline FEED ongoing. Expected first COâ‚‚ injection ~2027â€“2028. Hydrogen production plant (by Essar and others) in advanced development.,Phase 1 CCS: ~2027â€“2028. Hydrogen pipeline network from ~2027. Salt cavern hydrogen storage: ~2027.,"Eni (offshore COâ‚‚ storage); Cadent (pipeline infrastructure); individual industrial CCS units will have their own EPCs â€” not all publicly named. FEED contractors include Worley, Aecom.",,"David Parkin â€” Programme Director, HyNet (publicly named in industry press). Individual project leads at Eni, Cadent, INEOS Inovyn not all publicly verifiable.",,hynet.co.uk Â· DESNZ Track 1 CCUS announcement Oct 2021 Â· gov.uk CCUS programme (https://www.gov.uk/government/collections/carbon-capture-usage-and-storage-ccus-programme)
1,"Energy, Water and Utilities",Sizewell C Nuclear Power Station,Nuclear â€” New Build,"Suffolk, East of England",Sizewell C Ltd (NNB Generation Company SZC) â€” subsidiary vehicle,UK Government as majority shareholder and lead policy/financing body (via Secretary of State for ESNZ). EDF as technical lead and minority equity. La Caisse and Centrica as major institutional equity investors. Regulated Asset Base (RAB) model means consumer bills fund construction.,Â£38bn (July 2025 FID estimate) â€” 20% saving targeted over HPC. UK Govt committed Â£14.2bn capex 2026â€“30 in 2025 Spending Review. Bpifrance Assurance Export providing ~Â£5bn debt guarantee. National Wealth Fund to support majority of debt finance.,Groundworks underway (site preparation commenced Jan 2024). Final Investment Decision signed 22 July 2025. Core nuclear construction not yet started as of July 2026. Financing deal agreed Nov 2025.,9â€“12 years from FID â†’ operational 2034â€“2037. 60-year service life.,Not yet publicly appointed â€” Post-FID procurement underway. Expected to broadly replicate HPC supply chain (EDF/NNB GenCo will manage).,"Framatome (EPR reactor design/supplier, same as HPC); BYLOR / Bouygues / Laing O'Rourke likely preferred given HPC experience; detailed EPC selection in progress.","Julia Pyke â€” Joint Managing Director, Sizewell C Ltd (publicly confirmed, multiple press releases); Nigel Cann â€” Joint Managing Director, Sizewell C Ltd (confirmed Dec 2024, Wikipedia).",Julia Pyke: Public profile available at linkedin.com/in/julia-pyke (https://www.linkedin.com/in/julia-pyke) â€” *verify independently before use*. Nigel Cann: corporate bio referenced in industry press.,Wikipedia: en.wikipedia.org/wiki/Sizewell_C_nuclear_power_station (https://en.wikipedia.org/wiki/Sizewell_C_nuclear_power_station) Â· DESNZ FID announcement July 2025 Â· sizewellc.co.uk
1,"Energy, Water and Utilities",Wylfa Small Modular Reactor (3 Ã— Rolls-Royce SMR units),Nuclear â€” SMR,"Anglesey, Wales",Great British Energy â€“ Nuclear (GBE-N) (UK Government-owned) in partnership with Rolls-Royce SMR Ltd,"GBE-N as client and UK government investment vehicle (committed Â£14.2bn in nuclear broadly, 2026â€“30 SR period). National Wealth Fund committed up to Â£599m to Rolls-Royce SMR (April 2026). Site-specific design contract signed April 2026 between Rolls-Royce SMR and GBE-N.",3 Ã— SMR units at est. Â£2â€“3bn each = Â£6â€“9bn total. Overall site development cost TBC pending FID.,"Pre-FID / design phase â€” Site-specific design contract signed April 2026. GDA Step 3 ongoing (started July 2024, expected completion ~2026). Regulatory justification approved March 2026.",FID expected 2029 â†’ first operations early to mid 2030s,Not appointed â€” pending FID and detailed design. Rolls-Royce has selected Å koda JS and Doosan Enerbility for nuclear island pre-production work (May 2026). Yokogawa Electric contracted for control systems (Feb 2026).,"GBE-N: government-owned, DESNZ-sponsored. Rolls-Royce SMR Ltd: Rolls-Royce Holdings 76%, ÄŒEZ Group 20%, others 4%. Site bought by UK Government from Hitachi for Â£160m (March 2024).","Gwen Parry-Jones â€” CEO, Great British Energy â€“ Nuclear (Wikipedia confirmed). Rolls-Royce SMR CEO: Chris Cholerton (Rolls-Royce Group President) â€” SMR subsidiary leadership.",,Wikipedia: en.wikipedia.org/wiki/Rolls-Royce_SMR (https://en.wikipedia.org/wiki/Rolls-Royce_SMR) Â· en.wikipedia.org/wiki/Wylfa_Newydd_nuclear_power_station (https://en.wikipedia.org/wiki/Wylfa_Newydd_nuclear_power_station) Â· en.wikipedia.org/wiki/Great_British_Energy_â€“_Nuclear (https://en.wikipedia.org/wiki/Great_British_Energy_%E2%80%93_Nuclear) Â· wnn Apr 2026
2,"Buildings, Social Infrastructure and Regeneration",Universal United Kingdom Resort,Leisure / Tourism / Major Commercial Development,"East of England â€” Bedfordshire (Kempston Hardwick, south of Bedford)",Comcast NBCUniversal,"Private developer (US); UK Government providing Â£1.3bn in transport/infrastructure support (A421, Wixams railway station)",Â£5bn+ (private); + Â£1bn capex first decade; Â£50bn economic benefit by 2055,"Enabling works underway. First infrastructure packages awarded (ESP: utility infrastructure/water treatment/energy plant, with Veolia). No main works contractor announced yet. 100+ people employed.",Construction ~2026â€“2031; target opening 2031,Not yet announced,,Not publicly named in sources,,constructionenquirer.com/2026/06/04/hollywood-giant-gears-up-for-5bn-uk-resort-build/ (https://www.constructionenquirer.com/2026/06/04/hollywood-giant-gears-up-for-5bn-uk-resort-build/)
2,"Buildings, Social Infrastructure and Regeneration",Wylfa SMR â€” UK's First Small Modular Reactor,Energy / Nuclear,Wales â€” Anglesey,"Great British Energyâ€“Nuclear (GBE-N, publicly owned)",Government-backed entity as developer; Rolls-Royce SMR as technology partner,Â£2.5bn (initial 3 reactors up to 8 planned),"Early engineering phase â€” Arup (foundation engineering), Mace Consult (programme management), Gleeds (cost), LDA Design (masterplanning) appointed March 2026. Concept design under development.",Construction target late 2020s; operational ~2030+,Not yet appointed,,"Simon Roddy, CEO, Great British Energyâ€“Nuclear; Jeremy Stain, Nuclear Business Leader, Arup",great.gov.uk/great-british-energy (https://gbr.gov.uk),constructionenquirer.com/2025/11/13/wylfa-to-be-home-of-uks-first-small-modular-nuclear-reactors/ (https://www.constructionenquirer.com/2025/11/13/wylfa-to-be-home-of-uks-first-small-modular-nuclear-reactors/) Â· constructionenquirer.com/2026/03/12/mace-and-arup-land-roles-for-uks-first-small-modular-reactor/ (https://www.constructionenquirer.com/2026/03/12/mace-and-arup-land-roles-for-uks-first-small-modular-reactor/)
2,"Energy, Water and Utilities",Eastern Green Link 1 (EGL1) â€” formerly Scotland-England Green Link 1,Power Transmission / Electricity Grid,"Scotland (Torness, East Lothian) â†’ NE England (Murton, County Durham)",Joint: National Grid Electricity Transmission (NGET) + Scottish Power Transmission plc (SPT),NGET: English asset owner and lead project manager; SPT: Scottish asset owner. Ofgem-regulated Accelerated Strategic Transmission Investment (ASTI).,Â£1.294bn (Ofgem approved July 2022),Under construction â€” Construction formally began 13 February 2025.,2029,Contractors not publicly disclosed in verified sources at research date â€” procurement undertaken under ASTI framework. EGL1 site: easterngreenlink1.co.uk (https://www.easterngreenlink1.co.uk/),,"National Grid ASTI programme director not publicly named. ScottishPower Transmission CEO: Frank Mitchell (ScottishPower CEO, parent).",,Wikipedia: en.wikipedia.org/wiki/Eastern_Green_Links (https://en.wikipedia.org/wiki/Eastern_Green_Links) Â· Transport+Energy Feb 2025 Â· Ofgem ASTI decision Dec 2022
2,"Energy, Water and Utilities",Eastern Green Link 2 (EGL2) â€” HVDC subsea power cable,Power Transmission / Electricity Grid,"Scotland (Peterhead, Aberdeenshire) â†’ Yorkshire (Drax Power Station) â€” 440 km subsea",Joint: SSEN Transmission (SSE Plc subsidiary) + National Grid Electricity Transmission (NGET),SSEN Transmission: asset owner for Scottish portion; NGET: asset owner for English portion. Both regulated transmission owners under Ofgem ASTI framework. Joint project governance.,"Â£4.3bn total (confirmed Sept 2024, powertech)",Under construction â€” Construction began September 2024. Cable manufacturing and onshore works ongoing. Target energisation 2029.,2029,Prysmian Group (subsea HVDC cable manufacture & installation); Hitachi Energy (HVDC converter stations); BAM UK (onshore civil and converter station works),XLPE cable technology; Â±525 kV VSC HVDC; cross-linked polyethylene cables,"Rob McDonald â€” CEO, SSEN Transmission (publicly named). NGET project director for EGL2 not publicly named in verifiable sources.",SSEN: ssen-transmission.co.uk/projects/project-map/eastern-green-link-2 (https://www.ssen-transmission.co.uk/projects/project-map/eastern-green-link-2/?id=1665499557323) Â· easterngreenlink2.co.uk,Wikipedia: en.wikipedia.org/wiki/Eastern_Green_Links (https://en.wikipedia.org/wiki/Eastern_Green_Links) Â· Ofgem ASTI approval Aug 2024 Â· Power Technology Sept 2024
