Priority,Research area,Project,Sector,Region,Owner / Client,Owner role,Estimated value,Stage as of Jul 2026,Delivery window,Tier 1 contractor / JV / consortium,JV / partners aligned,Known owners / delivery leads,LinkedIn / public profile if available,Sources
2,"Energy, Water and Utilities",Eastern Green Link 3 (EGL3) and Eastern Green Link 4 (EGL4),Power Transmission,"EGL3: Peterhead (Scotland) â†’ Anderby Creek (Lincolnshire); EGL4: Westfield, Fife (Scotland) â†’ Anderby Creek (Lincolnshire). Both with 75-mile onshore link Grimsbyâ€“Walpole, Norfolk.",EGL3: National Grid ET + SSEN Transmission; EGL4: National Grid ET + Scottish Power Transmission,Ofgem-regulated transmission owners under ASTI. Ofgem approved Dec 2025. Contracts signed early 2026.,EGL3: ~$2.5bn (NKT cable contract signed March 2026). EGL4: ~$2.7bn (Prysmian cable contract Feb 2026). Total programme: ~Â£4.5bn+,In development / pre-construction â€” Contracts signed; design and early site preparation work underway.,EGL3: 2033; EGL4: 2033â€“2034,"EGL3: NKT (cables, $2.5bn contract); EGL4: Prysmian Group (cables, $2.7bn contract). Converter station contractors TBC.",,,,Wikipedia: en.wikipedia.org/wiki/Eastern_Green_Links (https://en.wikipedia.org/wiki/Eastern_Green_Links) Â· Marine Technology News Mar 2026 Â· Construction Review Online Feb 2026 Â· The Guardian Dec 2025
3,"Buildings, Social Infrastructure and Regeneration",Haweswater Aqueduct Resilience Programme (HARP),Water Infrastructure (strategic infrastructure),North West England â€” Cumbria to Manchester,United Utilities,Regulated water company as asset owner and programme sponsor,~Â£3bn (one of UK's largest water infrastructure projects),"Active construction â€” Strabag ranked #1 in rolling 12-month contracts league (Building.co.uk / Barbour ABI data, July 2026), buoyed by this contract",Multi-year (est. 2025â€“2032),Strabag (prime contractor on long-term deal),,,,"constructionenquirer.com/2026/07/08/battersea-job-lifts-sisk-to-top-of-contracts-league/ (https://www.constructionenquirer.com/2026/07/08/battersea-job-lifts-sisk-to-top-of-contracts-league/) (Strabag top of rolling 12-month orders, citing HARP)"
3,"Buildings, Social Infrastructure and Regeneration",HMP Glasgow (Replacement for HMP Barlinnie),Prisons / Justice,Scotland â€” Glasgow,Scottish Prison Service (SPS),Scottish Government / SPS as programme and asset owner,Â£684m,Under construction â€” structural frame and concrete works well advanced (Statom awarded frame subcontract Nov 2025). Active site.,Est. ~2027â€“2028,Kier,N/A,"Kevin Graham, MD, Statom North (frame subcontractor)",,constructionenquirer.com/2025/11/03/statom-lands-frame-deal-on-kier-barlinnie-prison-job/ (https://www.constructionenquirer.com/2025/11/03/statom-lands-frame-deal-on-kier-barlinnie-prison-job/)
3,"Buildings, Social Infrastructure and Regeneration",Kendrew Barracks & Bulwell Army Reserve Centre Upgrade,Defence,East Midlands â€” Rutland (Kendrew) & Nottingham (Bulwell),Ministry of Defence / DIO,DIO client; Army as end-user,Â£237m,Detailed design; construction start autumn 2026,~2026â€“2029,Bovis,,"Major General AJ Smith CBE, Director of Basing and Infrastructure, British Army; Andrew Mackay, Executive General Manager, Bovis",,constructionenquirer.com/2025/10/01/bovis-bags-237m-east-midlands-army-barracks-upgrade/ (https://www.constructionenquirer.com/2025/10/01/bovis-bags-237m-east-midlands-army-barracks-upgrade/)
3,"Buildings, Social Infrastructure and Regeneration",Leighton Hospital Replacement (New Crewe Hospital),Healthcare,North West England â€” Cheshire,Mid Cheshire Hospitals NHS Foundation Trust,NHS Foundation Trust; programme sits under NHP (DHSC),~Â£1.3bn,Hybrid planning application approved June 2026; moving to detailed design and business case approvals; procurement of major supply chain packages imminent,Construction 2027â€“2032; demolition of old hospital 2032â€“2034,Integrated Health Projects (IHP) JV,Sir Robert McAlpine + Vinci Building,"Simon Kydd, Health Sector MD, Sir Robert McAlpine (joined Jun 2026, replacing Stuart McArthur); Project team led by WSP (PM) and Ryder Architecture (design), supported by Gleeds, WT Partnership, Mott MacDonald, Greengage, PwC",Simon Kydd: linkedin.com/in/simon-kydd (https://www.linkedin.com/in/simon-kydd) (not confirmed from source â€” leave blank),constructionenquirer.com/2026/06/10/mcalpine-vinci-1-3bn-crewe-hospital-gets-green-light/ (https://www.constructionenquirer.com/2026/06/10/mcalpine-vinci-1-3bn-crewe-hospital-gets-green-light/) Â· constructionenquirer.com/2026/06/05/mcalpine-hires-former-wates-director-as-healthcare-md/ (https://www.constructionenquirer.com/2026/06/05/mcalpine-hires-former-wates-director-as-healthcare-md/)
3,"Buildings, Social Infrastructure and Regeneration",MoD Defence Construction Alliance (DCA),Defence,UK-wide,Ministry of Defence / DIO,DIO as alliance manager,Â£5bn (initial framework 2023),Active â€” ongoing works across multiple MOD sites,Rolling multi-year programme,"Galliford Try, Graham, Kier, Laing O'Rourke, Lendlease, Morgan Sindall (ISG was a member but collapsed 2024)",,,,constructionenquirer.com/2023/05/11/seven-scoop-5bn-mod-allianance-deals/ (https://www.constructionenquirer.com/2023/05/11/seven-scoop-5bn-mod-allianance-deals/)
3,"Buildings, Social Infrastructure and Regeneration",MoD Service Family Accommodation (SFA) Maintenance & Capital Programme,Defence,UK-wide (military family homes),Ministry of Defence / Defence Infrastructure Organisation (DIO),MoD/DIO as asset owner and programme client,"Â£6.6bn (2029â€“2036, with option to 2039)","Preliminary market engagement â€” expressions of interest close 15 July 2026; supplier briefing events 22 & 28 July 2026; formal procurement starts Jan 2027, tender published early 2027. Under review to split planned maintenance from day-to-day R&M into separate lots",Contract term: March 2029 â€“ February 2036 (option to 2039),Not yet awarded,,DIO Programme team (procurement lead not publicly named in sources),,constructionenquirer.com/2026/07/09/mod-to-split-6-6bn-military-homes-maintenance-mega-deal/ (https://www.constructionenquirer.com/2026/07/09/mod-to-split-6-6bn-military-homes-maintenance-mega-deal/)
3,"Buildings, Social Infrastructure and Regeneration","MoJ Prison Capacity Programme (14,000 new places by 2031)",Prisons / Justice,England-wide,Ministry of Justice / HMPPS,Government programme owner (in GMPP April 2026 refresh â€” multiple sub-programmes),Â£14bn total (multiple streams),"Active delivery: HMP Five Wells (Wellingborough) and HMP Millsike (Yorkshire) complete; expansions at HMPs Elmley, Bullingdon, Channings Wood underway; Small Secure Houseblocks under construction",Staggered: 2026â€“2031,Kier (primary â€” 30 houseblocks delivered/in delivery); Wates (Small Secure Houseblocks); various under alliance,"HMP Onley expansion (180 places, Â£100m) â€” Wates + Mace (PM) + Gleeds (cost), Warwickshire, completion end 2026. Kier double prison expansion (Â£250m, 2 sites, 4 houseblocks each), completion early 2027.","Stuart Togwell, CEO, Kier Group",linkedin.com/company/kier-group (https://www.linkedin.com/company/kier-group),constructionenquirer.com/2025/10/15/kier-lands-250m-double-prison-expansion-deal/ (https://www.constructionenquirer.com/2025/10/15/kier-lands-250m-double-prison-expansion-deal/) Â· constructionenquirer.com/2025/08/19/wates-inks-100m-deal-on-first-new-prison-house-blocks/ (https://www.constructionenquirer.com/2025/08/19/wates-inks-100m-deal-on-first-new-prison-house-blocks/) Â· constructionenquirer.com/2026/04/01/pay-caps-scrapped-in-mega-schemes-reset-to-lure-top-talent/ (https://www.constructionenquirer.com/2026/04/01/pay-caps-scrapped-in-mega-schemes-reset-to-lure-top-talent/)
3,"Buildings, Social Infrastructure and Regeneration",New Monklands Hospital (Wester Moffat site),Healthcare,Scotland â€” North Lanarkshire,NHS Lanarkshire / Scottish Government,Scottish Government Health Secretary as decision-maker,~Â£2.1bn (halted at ~Â£5m/bed â€” deemed unaffordable),HALTED June 2026 â€” comprehensive redesign ordered by Scottish Health Secretary Angela Constance. Enabling and earthworks underway. Revised proposals due 2027.,Redesigned scheme â€” 2028+ construction; original 2031 target now deferred,Laing O'Rourke (was preferred contractor; currently on enabling/earthworks),,"Angela Constance, Scottish Health Secretary (decision-maker)",,constructionenquirer.com/2026/06/26/scottish-ministers-halt-2-1bn-laing-orourke-hospital-job/ (https://www.constructionenquirer.com/2026/06/26/scottish-ministers-halt-2-1bn-laing-orourke-hospital-job/)
3,"Buildings, Social Infrastructure and Regeneration","New St Mary's Hospital, Paddington",Healthcare,London â€” Westminster/Paddington,Imperial College Healthcare NHS Trust,NHS FT â€” self-accelerated scheme (outside NHP timeline),~Â£2bn,Pre-planning â€” planning application target spring 2027. Masterplan unveiled June 2026. Development partner and architects appointed.,Construction ~2030â€“2035 (ahead of NHP's own 2043 target),Not yet appointed,N/A,Development partner: Stanhope; Architects: Allies and Morrison + HOK,stanhope.co.uk (https://www.stanhope.co.uk),constructionenquirer.com/2026/06/09/plan-unveiled-for-new-london-high-rise-hospital-in-paddington/ (https://www.constructionenquirer.com/2026/06/09/plan-unveiled-for-new-london-high-rise-hospital-in-paddington/)
3,"Buildings, Social Infrastructure and Regeneration",Northwood HQ Enabling Works & Expansion (UK Permanent Joint HQ / NATO Allied Maritime Command),Defence,Hertfordshire â€” Northwood,Ministry of Defence / DIO,DIO; UK Strategic Command as end-user,~Â£100m (enabling phase); total expansion larger,Procurement in progress â€” formal ITT due Oct 2026; contract start April 2026â€“September 2028,Enabling: 2026â€“2028; subsequent phases TBC,TBC (tendering Oct 2026),,,,constructionenquirer.com/2025/05/12/mod-to-bid-100m-command-hq-enabling-works/ (https://www.constructionenquirer.com/2025/05/12/mod-to-bid-100m-command-hq-enabling-works/)
3,"Buildings, Social Infrastructure and Regeneration",Trafford Wharfside Masterplan (incl. New Manchester United Stadium),Regeneration / Stadium / Residential / Commercial,"North West â€” Trafford, Greater Manchester",Manchester United Football Club / Trafford Metropolitan Borough Council,MUFC as lead promoter; Trafford Council as planning authority and co-promoter,"Â£7.3bn/yr economic impact claimed; stadium alone likely Â£1bn+; 15,000 new homes across 150ha",Pre-planning â€” Trafford Wharfside Strategic Masterplan to go before Trafford Council 22 July 2026; public consultation to run for ~2 months from end of July 2026. MANU stadium designed by Foster + Partners. No contractor yet appointed.,Planning approval 2026/27; construction expected ~2028+; stadium by ~2032â€“2033 (estimated),Not yet appointed,,"Tom Ross, Trafford Council Leader; Masterplan by: Allies & Morrison, engineer Civic, SLA landscape, JLL; Stadium: Foster + Partners",,building.co.uk/news/masterplan-for-site-that-will-include-new-manchester-united-stadium-to-go-before-local-planners-later-this-month/5143109.article (https://www.building.co.uk/news/masterplan-for-site-that-will-include-new-manchester-united-stadium-to-go-before-local-planners-later-this-month/5143109.article)
3,"Energy, Water and Utilities",Berwick Bank Offshore Wind Farm â€” Phase 1 (Berwick Bank B),Offshore Wind,"Firth of Forth, off East Lothian, Scotland",SSE Renewables,"Developer and future operator. Crown Estate Scotland: seabed lessor. Grid connection secured at Branxton (Torness), East Lothian (SEGL1 corridor) and Cambois, Blyth.","Multi-billion â€” Phase 1 1.38 GW at CfD Â£89.49/MWh (2024 prices), 20-year CfD period. Total 4.1 GW project: potential ~Â£8â€“12bn.","Pre-construction â€” CfD secured, design underway. Scottish Ministers consent granted July 2025 (subject to seabird compensation plan). CfD secured January 2026 (AR7). Target commissioning Phase 1: 31 March 2031.",Phase 1: 2031,Not yet appointed â€” pre-construction,,"John Cosgrove â€” MD, SSE Renewables (publicly confirmed).",,Wikipedia: en.wikipedia.org/wiki/Berwick_Bank_Wind_Farm (https://en.wikipedia.org/wiki/Berwick_Bank_Wind_Farm) Â· BBC News 31 Jul 2025 Â· The Herald 14 Jan 2026 Â· berwickbank.com
3,"Energy, Water and Utilities",East Anglia THREE Offshore Wind Farm,Offshore Wind,"North Sea, ~69 km off Suffolk/Norfolk coast",ScottishPower Renewables (Iberdrola subsidiary),Developer and future asset owner/operator. Iberdrola parent funding through balance sheet + CfD revenue support.,"~Â£5bn (est.) â€” CfD strike price Â£37.35/MWh (2022 prices, AR4 2022)","Under construction â€” First monopile placed April 2025; HVDC transformer (10,700 tonne) installed October 2025 using SSCV Sleipnir (world's largest crane vessel). Onshore construction commenced July 2022.",2026â€“2027,"Siemens Gamesa (turbine supply/installation); DEME (expected offshore installation, not confirmed in public sources at research date); cable contractors TBC public",,"Keith Anderson â€” CEO, ScottishPower (parent). Specific EA3 project director not publicly named in verified sources.",,Wikipedia: en.wikipedia.org/wiki/East_Anglia_Array (https://en.wikipedia.org/wiki/East_Anglia_Array) Â· ScottishPower press releases Â· offshorewind.biz Oct 2025
3,"Energy, Water and Utilities",East Anglia TWO Offshore Wind Farm,Offshore Wind,"North Sea, ~37.5 km off Lowestoft, Suffolk",ScottishPower Renewables (Iberdrola),,"Â£4bn (committed October 2024) â€” CfD Â£58.87/MWh (2024 prices, AR6 2024)",DCO granted March 2022; CfD secured 2024; pre-construction / detailed design / early procurement phase. Construction start expected 2026â€“2027.,~2030,Not yet publicly appointed at research date.,,,,Wikipedia: en.wikipedia.org/wiki/East_Anglia_Array (https://en.wikipedia.org/wiki/East_Anglia_Array) Â· ScottishPower Oct 2024 press release
3,"Energy, Water and Utilities",Rampion 2 Offshore Wind Farm,Offshore Wind,"English Channel, off Sussex coast (south of Rampion 1)",RWE Renewables,"Developer and future operator. First offshore wind farm approved on south coast (expansion of existing Rampion 1, 400 MW).",~Â£3â€“4bn (est.),DCO granted April 2025 by Secretary of State for ESNZ. Now in pre-construction/detailed design phase. Planning Inspectorate accepted application Sept 2023. Construction target ~2027.,~2030,Not yet appointed,,"Tom Glover â€” UK Country Chair, RWE (publicly named). Project director not publicly named.",,Wikipedia: en.wikipedia.org/wiki/Rampion_Wind_Farm (https://en.wikipedia.org/wiki/Rampion_Wind_Farm) Â· DCO decision April 2025 Â· rampionoffshore.com
3,"Energy, Water and Utilities",Sofia Offshore Wind Farm,Offshore Wind,North Sea (Dogger Bank zone â€” Teesside B lease area),RWE Renewables (formerly Innogy),"Developer, owner, future operator. HVDC offshore grid connection via separate offshore transmission owner (OTO).",~Â£3bn (est.),Under construction â€” Offshore construction underway; turbine installation ongoing. Completion targeted 2026. 44 turbines use recyclable blades made in Hull.,,Siemens Gamesa (turbine supply); Heerema (heavy offshore installation); Jan De Nul (cables); Seaway7 (cable installation),,"Tom Glover â€” UK Country Chair, RWE (publicly named). Project director not publicly named in verified sources.",,Wikipedia: en.wikipedia.org/wiki/Dogger_Bank_Wind_Farm (https://en.wikipedia.org/wiki/Dogger_Bank_Wind_Farm) (Sofia section) Â· RWE press releases Â· offshorewind.biz
4,"Buildings, Social Infrastructure and Regeneration",55 Old Broad Street,Commercial / Office,London â€” City of London,"Ashby Capital (developer/funder) with Landsec (development manager, retained)",Ashby Capital as developer; Landsec as development manager,Â£282m,Demolition (by Keltbray) nearing completion; Skanska confirmed for main works â€” start date October 2026,"Completion late 2029; 270,000 sqft offices, 23 storeys",Skanska (incl. M&E and fit-out),,"Tom Smithers, Property Director, Ashby Capital; Lee Marks, EVP Building Business, Skanska UK",,building.co.uk/news/skanska-confirmed-for-282m-city-office-after-private-equity-funding-deal-paves-way-for-work-to-start-on-stalled-job/5142939.article (https://www.building.co.uk/news/skanska-confirmed-for-282m-city-office-after-private-equity-funding-deal-paves-way-for-work-to-start-on-stalled-job/5142939.article)
4,"Buildings, Social Infrastructure and Regeneration",99 Bishopsgate (54-storey replacement tower),Commercial / Office,London â€” City of London,Brookfield Properties,Developer/investor (note: Brookfield is in process of selling Multiplex to Japanese contractor Obayashi),Not publicly disclosed,Demolition by Erith underway (building to be empty by September 2026); Multiplex confirmed as main contractor for new-build,Est. ~2029â€“2031,Multiplex,,Architect: RSHP; Cost: T&T Alinea; Structural: AKT II; MEP: Ramboll,,building.co.uk/news/erith-set-for-demolition-contract-at-99-bishopsgate-tower/5143096.article (https://www.building.co.uk/news/erith-set-for-demolition-contract-at-99-bishopsgate-tower/5143096.article)
4,"Buildings, Social Infrastructure and Regeneration",Barbican Arts Centre Renewal Programme,Commercial / Cultural / Public Buildings,London â€” City of London,City of London Corporation,Local authority as asset owner and programme client,"~Â£176m (total programme): Â£60m building services, Â£50m Conservatory, Â£30m foyers, Â£8m Concert Hall + other packages","Blue Sky Building appointed as CM, July 2026 (contract signed end of July 2026). Gateway 2 Building Safety Act application to follow. Programme team includes Gardiner & Theobald, Greenway Associates, Allies & Morrison, Asif Khan Studio, Buro Happold. Building classified Higher-Risk Building.",Through January 2030 (1-year extension option),"Blue Sky Building (CM role, Â£5.1m management fee)",N/A,Not publicly named in sources (City of London Corporation programme leadership),,constructionenquirer.com/2026/07/07/blue-sky-floors-tier-one-rivals-in-176m-barbican-revamp-race/ (https://www.constructionenquirer.com/2026/07/07/blue-sky-floors-tier-one-rivals-in-176m-barbican-revamp-race/) Â· building.co.uk/news/big-names-beaten-to-cm-deal-for-176m-barbican-overhaul/5143084.article (https://www.building.co.uk/news/big-names-beaten-to-cm-deal-for-176m-barbican-overhaul/5143084.article)
4,"Buildings, Social Infrastructure and Regeneration",Battersea Power Station Phase 3C â€” Electric Boulevard Completion,Regeneration / Mixed-Use / Residential,London â€” Wandsworth (SW8),Battersea Power Station Development Company (BPSDC),"Private developer (Malaysian consortium EPF, PNB, S P Setia); part of 42-acre masterplan",Not disclosed (balance of 42-acre scheme estimated at several Â£bn),Construction commenced summer 2026. Sisk appointed June 2026.,"~2028â€“2029 (c.300 homes + 65,000 sqft commercial + 15,000 sqft Community Hub)",Sisk,,"James Saunders, CEO, BPSDC (appointed April 2026); Steven McGee, COO Ireland & UK, Sisk; Studio Egret West (masterplanner for remaining 16 acres)",batterseapowerstation.co.uk (https://batterseapowerstation.co.uk),batterseapowerstation.co.uk/news/bps-announces-sisk-as-main-contractor-for-latest-gehry-partners-designed-phase/ (https://batterseapowerstation.co.uk/news/bps-announces-sisk-as-main-contractor-for-latest-gehry-partners-designed-phase/) Â· constructionenquirer.com/2026/07/08/battersea-job-lifts-sisk-to-top-of-contracts-league/ (https://www.constructionenquirer.com/2026/07/08/battersea-job-lifts-sisk-to-top-of-contracts-league/)
4,"Buildings, Social Infrastructure and Regeneration",Courtauld Institute of Art Phase 2 Transformation (Somerset House),Commercial / Cultural / Public,London â€” WC2 (Strand),The Courtauld Institute of Art,Art institute as client,Â£82m total; Â£42m construction cost,Contract signed July 2026. Bovis (CM) appointed. Under mobilisation.,Completion August 2028,"Bovis (Construction Manager, Â£5.3m fee)",,Architect: Witherford Watson Mann (2025 Stirling Prize winner); PM: Gardiner & Theobald; Cost: Aecom,,building.co.uk/news/mace-wins-the-royal-mint-hotel-scheme/5142800.article (https://www.building.co.uk/news/mace-wins-the-royal-mint-hotel-scheme/5142800.article)
4,"Buildings, Social Infrastructure and Regeneration",Great Ormond Street Hospital (GOSH) Children's Cancer Centre,Healthcare,London â€” Camden,Great Ormond Street Hospital for Children NHS Foundation Trust,NHS FT (charity-funded element + NHS capital),~Â£300m,Under construction â€” piling completed May 2026; MEP package awarded to Dalkia; Building Safety Act Gateway 2 milestone (first major healthcare development through this route),First patients 2029,Sisk (main contractor),N/A,"Colin Brunton, Regional MD, Dalkia (MEP); Steven McGee, COO Ireland & UK, Sisk (see also Battersea)",sisk.co.uk/sectors/healthcare (https://www.sisk.co.uk/sectors/healthcare),constructionenquirer.com/2026/05/18/dalkia-lands-me-deal-at-300m-childrens-cancer-centre/ (https://www.constructionenquirer.com/2026/05/18/dalkia-lands-me-deal-at-300m-childrens-cancer-centre/)
4,"Buildings, Social Infrastructure and Regeneration",Middlewood Locks Phase 4 â€” Brick Fields Yard & Lockgate Wharf,Regeneration / Residential,"North West England â€” Salford, Greater Manchester",Scarborough Group International / Metro Holdings (JV),Private developer JV; Homes England and National Housing Bank as funders (Â£84m total lending),Not fully disclosed; 909 homes; Homes England/NHB: Â£84m total lending to scheme,"Funding secured July 2026; site preparation and enabling works start. Main contractor not formally confirmed (BCEGI expected, having delivered all 3 previous phases).",Construction start early 2027; first homes available 2030,BCEGI (Beijing Construction Engineering Group International) â€” expected,,"Paul Kelly, MD, Scarborough Group International",,constructionenquirer.com/2026/07/09/funding-deal-to-kick-start-middlewood-locks-tower-phase/ (https://www.constructionenquirer.com/2026/07/09/funding-deal-to-kick-start-middlewood-locks-tower-phase/)
4,"Buildings, Social Infrastructure and Regeneration",One Horton Heath â€” Phase 2 (Upper Acre),Residential / Regeneration,"South East England â€” Eastleigh, Hampshire",Hampshire County Council,Local authority developer â€” UK's largest council-led housing scheme,"Â£100m (Phase 2); 2,500 homes total scheme",Procurement underway â€” D&B contractor sought; award January 2027; Phase 1 (381 homes) delivered by Wates,Start February 2027; first homes September 2027; final plots May 2030,TBC (award Jan 2027),,Not publicly named in sources,,constructionenquirer.com/2026/07/09/hampshire-council-seeks-db-firm-for-100m-housing-job/ (https://www.constructionenquirer.com/2026/07/09/hampshire-council-seeks-db-firm-for-100m-housing-job/)
4,"Buildings, Social Infrastructure and Regeneration",Rotherham Town Centre Regeneration (5 sites),Regeneration / Mixed-Use Residential,Yorkshire â€” Rotherham,Rotherham Metropolitan Borough Council + Capital&Centric (regeneration specialist),Council as landowner/partner; Capital&Centric as developer/masterplanner,~Â£100m,Developer appointment approved July 2026 (Cabinet). Detailed proposals and public consultation planned late 2026.,Construction starts early 2028,TBC (Capital&Centric typically appoints separate main contractors per project),,"John Moffat, Joint MD, Capital&Centric",,constructionenquirer.com/2026/07/08/capitalcentric-lines-up-five-rotherham-regeneration-starts/ (https://www.constructionenquirer.com/2026/07/08/capitalcentric-lines-up-five-rotherham-regeneration-starts/)
4,"Buildings, Social Infrastructure and Regeneration",Royal Albert Dock â€” Purpose-Built Student Accommodation (PBSA) Campus,Education / Student Accommodation / Regeneration,London â€” Newham / Royal Docks,DPK Group (developer),Developer transforming vacant ABP-era office complex,Â£300m GDV,"Funded â€” Firma Partners loan closed July 2026. Construction to start (internal fit-out, 20 buildings).",Target PC Q3 2027 (18-month programme),"TBC (primarily internal fit-out, no structural changes)",,"David Maxwell, Founder, DPK Group; Victor Librae, CEO, Firma Partners (funder)",,constructionenquirer.com/2026/07/06/loan-unlocks-offices-to-student-accommodation-deal/ (https://www.constructionenquirer.com/2026/07/06/loan-unlocks-offices-to-student-accommodation-deal/)
4,"Buildings, Social Infrastructure and Regeneration",UCG Wembley College Campus,Education / Further Education,London â€” Brent / Wembley,United Colleges Group (UCG),FE college group as client; supports Brent Council's Wembley education quarter,Â£92m,Contracted â€” Willmott Dixon appointed April 2026 via Southern Construction Framework; mobilising,Spring 2029,Willmott Dixon,,Architect: not named in source; BREEAM Excellent target,,constructionenquirer.com/2026/04/27/willmott-dixon-lands-92m-wembley-college-campus/ (https://www.constructionenquirer.com/2026/04/27/willmott-dixon-lands-92m-wembley-college-campus/)
4,"Buildings, Social Infrastructure and Regeneration",University of Warwick STEM Connect Programme,Education / Campus,West Midlands â€” Coventry,University of Warwick,HEI as client â€” largest single investment in 60-year campus history,Â£700m (full programme),"Phase 1 (Science & Engineering Building, 25,000mÂ²) under construction â€” Kier appointed April 2025, enabling works completed, main build underway",Phase 1: ~2027; full programme ~2030+,Kier (Phase 1),,"Mark Dady, MD, Kier Construction Eastern & Midlands; PM: Mace; Architect: BDP; Engineer: Arup",,constructionenquirer.com/2025/04/03/kier-wins-first-phase-of-700m-warwick-uni-campus-build/ (https://www.constructionenquirer.com/2025/04/03/kier-wins-first-phase-of-700m-warwick-uni-campus-build/)
